"variable_id","membership","cluster","cluster_raw"
"protein_1955",0.849525992798627,3,3
"protein_1962",0.840300711819488,3,3
"protein_1967",0.996694340430474,3,3
"protein_1976",0.821940864261452,3,3
"protein_1977",0.954773687001878,3,3
"protein_1993",0.984917807884782,3,3
"protein_2025",0.993556438868838,3,3
"protein_2050",0.986051514097615,3,3
"protein_2066",0.835432874704123,3,3
"protein_2080",0.983345498797506,3,3
"protein_2081",0.998356440820795,3,3
"protein_2101",0.840661001827331,3,3
"protein_2107",0.985472588104918,3,3
"protein_2108",0.992733082337522,3,3
"protein_2120",0.819608846148472,3,3
"protein_2168",0.97521432606133,3,3
"protein_2171",0.999771283477223,3,3
"protein_2223",0.968835506638217,3,3
"protein_2243",0.920321272266383,3,3
"protein_2269",0.999048307498948,3,3
"protein_2275",0.990157134451348,3,3
"protein_2301",0.848411728849196,3,3
"protein_2303",0.998910261311119,3,3
"protein_2314",0.915937897063356,3,3
"protein_2348",0.994463338728997,3,3
"protein_2356",0.981350710073207,3,3
"protein_2376",0.995297268224141,3,3
"protein_2392",0.996689270412333,3,3
"protein_2394",0.898477953996367,3,3
"protein_2417",0.954995670447008,3,3
"protein_2485",0.927919628380525,3,3
"protein_2496",0.98709697866166,3,3
"protein_2497",0.97138655439505,3,3
"protein_2542",0.805050632218033,3,3
"protein_2568",0.975199846208861,3,3
"protein_2570",0.999136190718684,3,3
"protein_2582",0.902050543463611,3,3
"protein_2586",0.846936493039703,3,3
"protein_2595",0.96962114142416,3,3
"protein_2630",0.982198148815441,3,3
"protein_2641",0.830239969225646,3,3
"protein_2679",0.998635246719958,3,3
"protein_2681",0.973857642609518,3,3
"protein_2702",0.855724045162727,3,3
"protein_2721",0.86022097685289,3,3
"protein_2741",0.951366794854705,3,3
"protein_2758",0.960670700946312,3,3
"protein_2793",0.993755214482007,3,3
"protein_2794",0.957628669233021,3,3
"protein_2801",0.865334635101431,3,3
"protein_2834",0.960437642410408,3,3
"protein_2837",0.990523991700502,3,3
"protein_2881",0.944653348695479,3,3
"protein_2889",0.994800554466087,3,3
"protein_2891",0.819991841753012,3,3
"protein_2935",0.86530918271611,3,3
"protein_2941",0.805453008431579,3,3
"protein_2953",0.999547341460532,3,3
"protein_2970",0.9814899649456,3,3
"protein_3047",0.985970354200625,3,3
"protein_3051",0.990203444570018,3,3
"protein_3067",0.983072390899937,3,3
"protein_3070",0.959401291081958,3,3
"protein_3114",0.98429534597925,3,3
"protein_3127",0.999527178707301,3,3
"protein_3138",0.993755046339679,3,3
"protein_3139",0.979903294638948,3,3
"protein_3171",0.945422619292934,3,3
"protein_3186",0.801130007705284,3,3
"protein_3206",0.965557219463821,3,3
"protein_3226",0.995534446537427,3,3
"protein_3234",0.939948318920508,3,3
"protein_3241",0.968494141466357,3,3
"protein_3274",0.967672205162087,3,3
"protein_3284",0.861784708139319,3,3
"protein_3309",0.920549078952458,3,3
"protein_3316",0.999379294403782,3,3
"protein_3333",0.930081236266453,3,3
"protein_3343",0.967564897785205,3,3
"protein_3348",0.952609412382683,3,3
"protein_3398",0.87840666955455,3,3
"protein_3433",0.834095162614984,3,3
"protein_3452",0.995303060124965,3,3
"protein_3458",0.999811400684039,3,3
"protein_3460",0.999673658102307,3,3
"protein_3468",0.990811315293598,3,3
"protein_3504",0.980762114614135,3,3
"protein_3592",0.99851755162088,3,3
"protein_3600",0.999377818992406,3,3
"protein_3616",0.910845823693449,3,3
"protein_3667",0.999763074686131,3,3
"protein_3668",0.979657598102262,3,3
"protein_3669",0.82424479629221,3,3
"protein_3681",0.952677183060108,3,3
"protein_3714",0.951152013995259,3,3
"protein_3718",0.942830305444765,3,3
"protein_3721",0.828145228115403,3,3
"protein_3754",0.988791788868169,3,3
"protein_3756",0.999785261581777,3,3
"protein_3774",0.994846291233219,3,3
"protein_3781",0.989020275804303,3,3
"protein_3790",0.977145126760566,3,3
"protein_3794",0.851447628664231,3,3
"protein_3824",0.901309494762302,3,3
"protein_3870",0.99616873038127,3,3
"protein_3883",0.978586393021044,3,3
"protein_3886",0.99909247472457,3,3
"protein_3904",0.994408472093394,3,3
"protein_3917",0.80719192031689,3,3
"protein_3919",0.99824359774978,3,3
"protein_3947",0.994172770571735,3,3
"protein_3948",0.98956391464147,3,3
"protein_3976",0.944558042778429,3,3
"protein_3978",0.993593678499491,3,3
"protein_3996",0.98719540234267,3,3
"protein_4014",0.99555329631966,3,3
"protein_4029",0.996983942490343,3,3
"protein_4087",0.815879634391528,3,3
"protein_4177",0.980576999602725,3,3
"protein_4217",0.998488541654085,3,3
"protein_4226",0.902972571929065,3,3
"protein_4239",0.938352750034482,3,3
"protein_4278",0.926800174810234,3,3
"protein_4280",0.999967037530798,3,3
"protein_4328",0.856704578825003,3,3
"protein_4350",0.950792588520039,3,3
"protein_4353",0.99934134246454,3,3
"protein_4356",0.985349158617407,3,3
"protein_4427",0.999001536287862,3,3
"protein_4460",0.936533586232118,3,3
"protein_4480",0.81864607544554,3,3
"protein_4517",0.99575456071211,3,3
"protein_4519",0.86347560795704,3,3
"protein_4540",0.997729204589352,3,3
"protein_4556",0.98275970155948,3,3
"protein_4563",0.999909863325265,3,3
"protein_4576",0.989206797193325,3,3
"protein_4586",0.989324450288027,3,3
"protein_4588",0.999057529187542,3,3
"protein_4667",0.941692140420532,3,3
"protein_4675",0.999514045886432,3,3
"protein_4679",0.844443989632411,3,3
"protein_4772",0.882576935432711,3,3
"protein_4774",0.995326305278642,3,3
"protein_4776",0.988333350649936,3,3
"protein_4783",0.999382112361782,3,3
"protein_4789",0.84898829669488,3,3
"protein_4797",0.952109292108325,3,3
"protein_4803",0.999508825400534,3,3
"protein_4842",0.999673739120525,3,3
"protein_4847",0.992266898414,3,3
"protein_4851",0.995155597045761,3,3
"protein_4899",0.988586870748418,3,3
"protein_4901",0.834657454247963,3,3
"protein_4915",0.979287524103835,3,3
"protein_5006",0.973904597241269,3,3
"protein_5026",0.999700625889132,3,3
"protein_5094",0.891405611912294,3,3
"protein_5097",0.999965642818438,3,3
"protein_5112",0.999177884576126,3,3
"protein_5138",0.900380955871215,3,3
"protein_5139",0.962457696279371,3,3
"protein_5162",0.999939898770433,3,3
"protein_5164",0.921499316753261,3,3
"protein_5170",0.884356856553263,3,3
"protein_5179",0.98264651240232,3,3
"protein_5209",0.999327360401576,3,3
"protein_5252",0.802897987182826,3,3
"protein_5258",0.931016622947483,3,3
"protein_5264",0.991551574126031,3,3
"protein_5295",0.997636945527955,3,3
"protein_5302",0.993439312517732,3,3
"protein_5308",0.944852806310965,3,3
"protein_5368",0.990408370330034,3,3
"protein_5418",0.864090088031786,3,3
"protein_5426",0.92418045046092,3,3
"protein_5458",0.935482596591781,3,3
"protein_5487",0.930551905413354,3,3
"protein_5500",0.999377619696863,3,3
"protein_5508",0.963437176028825,3,3
"protein_5550",0.903985521306971,3,3
"protein_5559",0.981090276262995,3,3
"protein_5563",0.989750948670228,3,3
"protein_5621",0.931746325090306,3,3
"protein_5642",0.851428603054593,3,3
"protein_5696",0.919202430102211,3,3
"protein_5710",0.984100944332186,3,3
"protein_5713",0.946238000992544,3,3
"protein_5722",0.997273612317702,3,3
"protein_5746",0.974736578080826,3,3
"protein_5747",0.999047451974416,3,3
"protein_5765",0.925033106486258,3,3
"protein_5769",0.987733940974714,3,3
"protein_5787",0.960134653545662,3,3
"protein_5811",0.949242704280624,3,3
"protein_5832",0.995741890395221,3,3
"protein_5859",0.973027326037814,3,3
"protein_5873",0.956706648855037,3,3
"protein_5884",0.812202683268,3,3
"protein_5904",0.901386908858839,3,3
"protein_5916",0.99638770703244,3,3
"protein_5934",0.978937317064132,3,3
"protein_5964",0.99761532342149,3,3
"protein_5974",0.999221760503382,3,3
"protein_5996",0.992554859003258,3,3
"protein_6030",0.948340973941709,3,3
"protein_6070",0.890207433092984,3,3
"protein_6072",0.988460881393675,3,3
"protein_6081",0.990136708375439,3,3
"protein_6102",0.911853677174806,3,3
"protein_6110",0.983392155189757,3,3
"protein_6120",0.894058434101848,3,3
"protein_6135",0.99031699366276,3,3
"protein_6177",0.94439483880219,3,3
"protein_6273",0.961348832953422,3,3
"protein_6313",0.842115436374924,3,3
"protein_6316",0.967288356781473,3,3
"protein_6361",0.843238248769877,3,3
"protein_6376",0.982982160776174,3,3
"protein_6381",0.826951597215931,3,3
"protein_6385",0.996087424823961,3,3
"protein_6393",0.992582424394875,3,3
"protein_6407",0.971704846812911,3,3
"protein_6428",0.979424431929033,3,3
"protein_6482",0.991040084960787,3,3
"protein_6555",0.895870158679994,3,3
"protein_6572",0.980737087813569,3,3
"protein_6573",0.999746031818719,3,3
"protein_6596",0.990108958489421,3,3
"protein_6672",0.986972371196067,3,3
"protein_6697",0.81853679631506,3,3
