"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_1413",-0.34108345719924,0.00107182791679341,-0.385650883646031,2.32871217420281e-06,6.06186447824563e-05,0.0114024658851639
"protein_1447",-0.588667557233314,1.30203926454343e-09,-0.463684210541583,7.01693601068542e-09,3.15119347716506e-07,1.07563059595675e-07
"protein_1448",-0.606170133072192,3.07722661918046e-10,-0.32268728214219,9.5199155576153e-05,0.00145469255131041,3.01722070010644e-08
"protein_1467",-0.782943447963011,1.25770358361179e-19,-0.505320849153844,1.65283893137211e-10,1.01288035763147e-08,6.7264274385347e-17
"protein_1483",-0.435670163740285,1.97934035041383e-05,-0.55950540032936,5.5180883533138e-13,5.32178914467952e-11,0.000441078003086536
"protein_1549",-0.387296243337458,0.000177158556413284,-0.267385630358691,0.00134905547728505,0.0126781044295015,0.00263854123387177
"protein_1559",-0.45172535427572,8.85362476512426e-06,-0.469267328582459,4.368225509958e-09,2.09412038578476e-07,0.000234621056275793
"protein_1578",-0.323838673432157,0.00196298308447256,-0.312268245320341,0.000163453111957073,0.00225197812094488,0.017904231761166
"protein_1624",-0.303758756960125,0.00380545365711668,-0.23391399340469,0.00524338366779589,0.0365917273044404,0.0290746543698927
"protein_1631",-0.363207767385075,0.000468183988713847,-0.327181634290385,7.49371610677662e-05,0.00119797640913497,0.00583543730000755
"protein_1675",-0.280697529488176,0.00771131862549037,-0.278780831128767,0.000815466089175165,0.00838704021436625,0.0491502572846802
"protein_1720",-0.526136646051776,1.18881876878397e-07,-0.401720723024228,7.92071080381693e-07,2.29280109775863e-05,6.08158331891835e-06
"protein_1813",-0.744566459753586,6.09798124314917e-17,-0.691479333283556,2.27176757776674e-21,7.86165215294219e-19,1.88812756070771e-14
"protein_1814",-0.3229365734985,0.00202419927722007,-0.397868684488466,1.03106264574044e-06,2.90226868176603e-05,0.0181812214532951
"protein_1877",-0.486712658327575,1.32340910999132e-06,-0.43169321872146,9.05745393979736e-08,3.22939403198957e-06,4.81937250733718e-05
"protein_1908",-0.394922737014982,0.000128177897171083,-0.322561507787602,9.58337344778196e-05,0.00146059549205444,0.00202163691436321
"protein_1933",-0.374056747683915,0.000305047803673127,-0.353129210959241,1.74648204960651e-05,0.000347113307359295,0.00412892273076735
"protein_1943",-0.542707500564826,3.92771849067476e-08,-0.398491402876725,9.88255199316802e-07,2.79514679691382e-05,2.40695498756662e-06
"protein_1987",-0.329727265736487,0.00160275087757018,-0.298593816452395,0.000322594131109203,0.00398701948175513,0.0153463532867411
"protein_2034",-0.775412030952011,4.65635685667216e-19,-0.70220371291652,2.97008117064609e-22,1.2480705376365e-19,1.89106196771068e-16
"protein_2037",-0.442947194823469,1.38146376428691e-05,-0.433556164952417,7.85966239643503e-08,2.81941426086752e-06,0.000344370818868639
"protein_2055",-0.479765066453384,1.9630335880849e-06,-0.616740631370459,3.87185736122758e-16,6.69945201650055e-14,6.73715560169479e-05
"protein_2118",-0.472816853865609,2.88709517264376e-06,-0.4310829486425,9.48649325375832e-08,3.34503505642777e-06,9.2813010386138e-05
"protein_2127",-0.654396841241999,3.52984310575816e-12,-0.613581399261562,6.00919829766776e-16,9.55462529329173e-14,4.55533911999521e-10
"protein_2189",-0.461160188578948,5.41268499471538e-06,-0.574031304711773,9.97320756497052e-14,1.10702603971173e-11,0.000158422019024431
"protein_2273",-0.391280286643607,0.000149749734546359,-0.508350588563331,1.23316774461558e-10,7.7177934484824e-09,0.00230020284160896
"protein_2312",-0.321378784932805,0.0021339742236931,-0.37935892963754,3.49836240400209e-06,8.75781532882735e-05,0.0189116462194232
"protein_2338",-0.390996541804269,0.000151563832608773,-0.386134918511069,2.25614120558804e-06,5.8990572055442e-05,0.00231597409672055
"protein_2374",-0.660190700235944,1.95327069426031e-12,-0.655067980246786,1.22896120457764e-18,2.49309612638974e-16,2.73597416531747e-10
"protein_2381",-0.302446213107945,0.00396758068633894,-0.465788886979306,5.87467494103468e-09,2.67912501380675e-07,0.0300789654352216
"protein_2402",-0.519982133657169,1.76727077334682e-07,-0.57725379469425,6.74564389129115e-14,7.63165827162805e-12,8.73685206689019e-06
"protein_2433",-0.654307384247182,3.56188338466394e-12,-0.246757567035196,0.00318025768908036,0.0249792469757807,4.55533911999521e-10
"protein_2439",-0.317954383918148,0.00239435683895129,-0.366998357653904,7.59544939242295e-06,0.000171677247088461,0.0205935691279977
"protein_2477",-0.490468344477499,1.06549483659553e-06,-0.489503893254817,7.28583766549884e-10,4.00584887720838e-08,3.9925516711411e-05
"protein_2569",-0.82597609618309,2.25550727849714e-23,-0.751247617670671,7.41312303288315e-27,7.26856713374193e-24,2.65382986387974e-20
"protein_2571",-0.596965515813913,6.64217908444352e-10,-0.464767807785065,6.40449311476934e-09,2.89827946109138e-07,5.66317964547554e-08
